timestamp,block_height,tx_count,mempool_size_mb,min_fee_rate,max_fee_rate,avg_fee_rate,median_fee_rate,fee_rate_10th,fee_rate_90th,fee_rate_std,block_time,difficulty,hash_rate,mempool_min_fee,total_fee,mempool_usage,transaction_count,block_weight,block_version,block_interval
1724210994,857705,5264,20.920064,2.7563451776649745e-08,1e-05,5.0044347270474736e-08,4.0845070422535214e-08,3.0634920634920634e-08,5.9171597633136094e-08,1.477638549402137e-07,1724210994,86871474313761.95,5.607321335451541e+20,1e-05,0.05473879,119092800,5264,3992805,536928256,792
1724212399,857707,3885,20.917951,2.7177033492822966e-08,3e-06,5.257252169587034e-08,4e-08,3.0384615384615384e-08,7.069230769230769e-08,6.851806591998823e-08,1724212399,86871474313761.95,5.607321335451541e+20,1e-05,0.064665,119081248,3885,3992777,549068800,1405
1724213424,857709,7027,20.916226,2.7777777777777777e-08,1.3642857142857142e-06,3.6327041486309794e-08,3.071428571428571e-08,2.7857142857142856e-08,5e-08,3.303886432852535e-08,1724213424,86871474313761.95,5.607321335451541e+20,1e-05,0.04103957,119069136,7027,3993012,541679616,1025
1724215743,857711,4082,20.914118,2.6377649325626203e-08,2.9258160237388726e-07,4.717389593718253e-08,5e-08,3.4966622162883843e-08,5.053846153846154e-08,1.209951367139231e-08,1724215743,86871474313761.95,5.607321335451541e+20,1e-05,0.04544974,119058432,4082,3992977,537542656,2319
1724216343,857713,6847,20.912922,2.746031746031746e-08,6e-07,3.376810493861822e-08,3.071428571428571e-08,3.047244094488189e-08,3.1111111111111114e-08,2.4638111978076962e-08,1724216343,86871474313761.95,5.607321335451541e+20,1e-05,0.03629622,119050688,6847,3992856,738197504,600
1724217049,857716,6245,20.912039,2.7035398230088494e-08,1.2e-06,3.392908354555023e-08,3e-08,2.746031746031746e-08,3.1111111111111114e-08,3.235306245395948e-08,1724217049,86871474313761.95,5.607321335451541e+20,1e-05,0.03569318,119045664,6245,3993767,538484736,706
1724217681,857717,5342,20.911897,2e-08,2.198198198198198e-06,4.012431104205635e-08,3.023622047244094e-08,3e-08,5e-08,5.853368907880385e-08,1724217681,86871474313761.95,5.607321335451541e+20,1e-05,0.04419296,119044624,5342,3993056,626368512,632
1724219140,857720,4631,20.910515,1.9858156028368793e-08,1.03e-06,3.032405592814149e-08,2.9603174603174603e-08,2.935620338983051e-08,3e-08,1.7004169970165428e-08,1724219140,86871474313761.95,5.607321335451541e+20,1e-05,0.03112453,119035552,4631,3993639,1073733632,1459
1724220060,857721,4262,20.910079,1.9909090909090907e-08,1.0164461538461539e-05,5.480334490870257e-08,3.6028368794326244e-08,3e-08,7e-08,1.890614563866548e-07,1724220060,86871474313761.95,5.607321335451541e+20,1e-05,0.05956603,119032304,4262,3992844,539762688,920
1724221077,857727,7124,20.90618,1.9858156028368793e-08,5.002727272727273e-07,3.044491647874833e-08,2.8015873015873017e-08,2.7181818181818183e-08,3.103174603174603e-08,1.698752452674163e-08,1724221077,86871474313761.95,5.607321335451541e+20,1e-05,0.03210058,119008880,7124,3993772,651296768,1017
1724222138,857730,7082,20.904572,2.3636363636363635e-08,4.6875e-06,3.2247239532530737e-08,2.7936507936507935e-08,2.748031496062992e-08,3.633802816901408e-08,7.350545442741277e-08,1724222138,86871474313761.95,5.607321335451541e+20,1e-05,0.0348575,119000128,7082,3993019,882327552,1061
1724223418,857731,2520,20.904168,2.985645933014354e-08,2.3260892388451443e-06,7.718870019450254e-08,5e-08,4.038461538461539e-08,1.165690510862136e-07,1.0834751949785819e-07,1724223418,86871474313761.95,5.607321335451541e+20,1e-05,0.06805174,118996672,2520,3993094,547045376,1280
1724224064,857732,3123,20.903007,2e-08,2.783681818181818e-05,8.001769064359866e-08,4e-08,3.636807448054751e-08,7e-08,6.942359402923373e-07,1724224064,86871474313761.95,5.607321335451541e+20,1e-05,0.07313976,118991056,3123,3993122,665247744,646
1724224670,857734,6598,20.901923,2.7401574803149606e-08,1.2e-06,3.403197051185185e-08,2.9047619047619048e-08,2.7401574803149606e-08,3.984126984126984e-08,3.6618255505775743e-08,1724224670,86871474313761.95,5.607321335451541e+20,1e-05,0.03872479,118984816,6598,3993453,705331200,606
1724226165,857735,3275,20.89899,1.199310262813652e-08,5.357142857142857e-06,7.881944748565736e-08,4.9890774401211774e-08,4e-08,1.1702613636363643e-07,1.6215931126990285e-07,1724226165,86871474313761.95,5.607321335451541e+20,1e-05,0.07099219,118970352,3275,3993676,704675840,1495
1724228528,857737,4099,20.89899,2e-08,4.6875e-06,5.7292495912087874e-08,4.794871794871795e-08,4e-08,6e-08,1.1343077041385629e-07,1724228528,86871474313761.95,5.607321335451541e+20,1e-05,0.05478757,118970352,4099,3993145,829595648,2363
1724229228,857738,3602,20.893886,2.0172669884886742e-08,4e-06,7.593753385751681e-08,4.9859154929577465e-08,4e-08,8.048484848484849e-08,2.095810760783708e-07,1724229228,86871474313761.95,5.607321335451541e+20,1e-05,0.06831229,118960080,3602,3993510,681123840,700
1724230188,857739,3331,20.892873,2e-08,5.048305084745762e-06,7.834189932844755e-08,5e-08,4.1020408163265307e-08,9.885752895752894e-08,1.6817100811939348e-07,1724230188,86871474313761.95,5.607321335451541e+20,1e-05,0.0744972,118953120,3331,3993366,536870912,960
1724231870,857740,4508,20.892732,1.6750509857239973e-08,1.0076923076923076e-05,9.409837320569548e-08,5.702127659574468e-08,5e-08,1.2e-07,2.449265415603098e-07,1724231870,86871474313761.95,5.607321335451541e+20,1e-05,0.09484808,118952048,4508,3992950,781344768,1682
1724233242,857742,4112,20.892633,2.736e-08,1.5e-05,7.023631997848107e-08,6e-08,4.1020408163265307e-08,7e-08,2.457329159718184e-07,1724233242,86871474313761.95,5.607321335451541e+20,1e-05,0.06516615,118951104,4112,3993743,785629184,1372
1724234050,857745,4232,20.890327,1.9858156028368793e-08,3.6100567375886525e-05,6.128422079245362e-08,3.984126984126984e-08,3.331081081081081e-08,5.053846153846154e-08,6.210304019836841e-07,1724234050,86871474313761.95,5.607321335451541e+20,1e-05,0.05576606,118935520,4232,3993388,561537024,808
1724235355,857746,4464,20.889051,1.8207282913165266e-08,5.357142857142857e-06,8.057697261204032e-08,5.1037037037037036e-08,4.9574468085106385e-08,1.001777163904236e-07,1.5564841860126276e-07,1724235355,86871474313761.95,5.607321335451541e+20,1e-05,0.08171494,118925600,4464,3993308,620470272,1305
1724237018,857747,3220,20.882923,2.0042918454935622e-08,2.5e-05,1.2988512092079383e-07,7.574468085106383e-08,6.163265306122449e-08,2e-07,4.856018165207034e-07,1724237018,86871474313761.95,5.607321335451541e+20,1e-05,0.11169333,118883888,3220,3993145,703422464,1663
1724238187,857749,2096,20.882058,1.9823008849557523e-08,5.333333333333334e-06,9.883212885903417e-08,7e-08,5.944988714810513e-08,1.0680909090909104e-07,2.0905639002490388e-07,1724238187,86871474313761.95,5.607321335451541e+20,1e-05,0.07459761,118877264,2096,3993022,612040704,1169
1724238965,857751,2861,20.879925,2e-08,1.845e-06,5.351842694196736e-08,4.949896406088135e-08,4.039370078740158e-08,5.055673758865248e-08,6.050006039419247e-08,1724238965,86871474313761.95,5.607321335451541e+20,1e-05,0.04897925,118864112,2861,3993070,782172160,778
1724239699,857752,4654,20.879714,3e-08,2.922872340425532e-05,6.786506657404218e-08,4e-08,4e-08,7.023465078207756e-08,4.444762403403248e-07,1724239699,86871474313761.95,5.607321335451541e+20,1e-05,0.06937104,118862656,4654,3993227,671088640,734
1724240340,857753,3172,20.879112,1.992248062015504e-08,4.042328042328042e-06,6.921953156968614e-08,4.0759493670886076e-08,3.801418439716312e-08,9.319148936170213e-08,1.3295879360294244e-07,1724240340,86871474313761.95,5.607321335451541e+20,1e-05,0.06003141,118857424,3172,3993472,537174016,641
1724241838,857755,3163,20.878404,2.0363636363636362e-08,5.048022598870057e-06,5.914950833743563e-08,3.4e-08,3.019607843137255e-08,7.093973221384728e-08,1.6125816261136597e-07,1724241838,86871474313761.95,5.607321335451541e+20,1e-05,0.05714791,118853648,3163,3998042,536928256,1498
1724242796,857757,5767,20.87731,2.500672344240251e-08,3.005464480874317e-06,3.200081748126638e-08,2.8174603174603175e-08,2.5555555555555557e-08,3.984126984126984e-08,4.318447567823671e-08,1724242796,86871474313761.95,5.607321335451541e+20,1e-05,0.03417811,118845744,5767,3993466,714850304,958
1724244298,857759,3740,20.876045,2.8333333333333332e-08,1.5e-06,5.219228552874178e-08,3.1884057971014494e-08,3.015873015873016e-08,7e-08,7.432839119553498e-08,1724244298,86871474313761.95,5.607321335451541e+20,1e-05,0.05965571,118838320,3740,3992769,583737344,1502
1724245388,857760,3231,20.875488,2.4882710686359686e-08,0.00018566137566137567,1.4870709371703587e-07,5e-08,4e-08,1.1001870748299319e-07,3.277122908014804e-06,1724245388,86871474313761.95,5.607321335451541e+20,1e-05,0.13811409,118835600,3231,3993645,536887296,1090
1724246106,857761,3824,20.874901,1.0354609929078015e-08,3e-06,5.9743341661552e-08,4.2153846153846156e-08,2.873015873015873e-08,8.084754718576292e-08,9.906554057628218e-08,1724246106,86871474313761.95,5.607321335451541e+20,1e-05,0.06084153,118832608,3824,3993601,624599040,718
1724246998,857764,7498,20.874416,2.753968253968254e-08,3e-06,3.4257203408784296e-08,3.0294117647058825e-08,2.753968253968254e-08,3.047244094488189e-08,6.470713244132931e-08,1724246998,86871474313761.95,5.607321335451541e+20,1e-05,0.0365062,118829616,7498,3992925,781918208,892
1724247968,857766,4949,20.873783,2.5793650793650794e-08,3e-06,4.37015463628175e-08,3.015873015873016e-08,2.5873015873015872e-08,5.154921396552817e-08,8.887357028623037e-08,1724247968,86871474313761.95,5.607321335451541e+20,1e-05,0.04765232,118824448,4949,3993430,537944064,970
1724248711,857767,4306,20.873531,3e-08,3e-06,5.6649856679885926e-08,3.9775280898876407e-08,3.015748031496063e-08,7.792291856501635e-08,9.942504525253525e-08,1724248711,86871474313761.95,5.607321335451541e+20,1e-05,0.06077979,118822208,4306,3997777,536887296,743
1724249409,857770,6422,20.873139,2.2077922077922077e-08,5.847787610619469e-07,3.129023051624478e-08,3e-08,3e-08,3.023809523809524e-08,1.4650153848939127e-08,1724249409,86871474313761.95,5.607321335451541e+20,1e-05,0.03223229,118818896,6422,3992988,686268416,698
1724250342,857772,6900,20.872609,2.0401948842874544e-08,3.1130434782608697e-07,3.054432108707818e-08,3e-08,2.9133858267716535e-08,3.031746031746032e-08,8.024278242918374e-09,1724250342,86871474313761.95,5.607321335451541e+20,1e-05,0.03085036,118814976,6900,3983878,536870912,933
1724251026,857773,2010,20.872357,3e-08,2.967359050445104e-05,1.1298113895364849e-07,5.587301587301587e-08,4.519472693032015e-08,1.3824830184549734e-07,6.91180616653406e-07,1724251026,86871474313761.95,5.607321335451541e+20,1e-05,0.09641185,118812896,2010,3993163,595197952,684
1724252039,857774,2744,20.872357,2.0119402985074627e-08,1.5066225165562915e-06,9.330359886510627e-08,6e-08,4.845070422535211e-08,1.4968857000498282e-07,1.2306098595090226e-07,1724252039,86871474313761.95,5.607321335451541e+20,1e-05,0.07769952,118812896,2744,3993239,547356672,1013
1724252971,857775,3115,20.872134,3e-08,2.52e-06,8.576337795449156e-08,5.702127659574468e-08,4.588118081180812e-08,1.2156402184388067e-07,1.2963504762125766e-07,1724252971,86871474313761.95,5.607321335451541e+20,1e-05,0.0764855,118811920,3115,3993223,636968960,932
1724254226,857776,3851,20.871627,2.4225352112676055e-08,2.967359050445104e-05,9.91015722088799e-08,5.942583732057416e-08,4.8211920529801324e-08,1.213336945658587e-07,5.970319520402554e-07,1724254226,86871474313761.95,5.607321335451541e+20,1e-05,0.09963553,118808384,3851,3993123,536961024,1255
1724256612,857778,3006,20.870186,1.9952830188679245e-08,9.026548672566371e-07,5.9313521150077894e-08,5.0225225225225224e-08,4.9086272561682404e-08,6.943971631205674e-08,3.440030385857426e-08,1724256612,86871474313761.95,5.607321335451541e+20,1e-05,0.05663364,118800464,3006,3993470,649781248,2386
1724257376,857781,6238,20.869135,1.9904306220095694e-08,2.1702127659574467e-06,3.917538113589555e-08,3.023809523809524e-08,3.0079365079365076e-08,4.8794326241134754e-08,6.082626356104535e-08,1724257376,86871474313761.95,5.607321335451541e+20,1e-05,0.04343301,118794160,6238,3993280,536887296,764
1724258293,857782,2832,20.86659,3.394366197183099e-08,3.5411347517730495e-06,8.755401357312712e-08,5e-08,4.169014084507042e-08,1.3546511627906977e-07,1.6495150164418973e-07,1724258293,86871474313761.95,5.607321335451541e+20,1e-05,0.07421034,118785264,2832,3993185,793026560,917
1724259146,857785,5441,20.865935,2.986425339366516e-08,3e-06,4.2171830082683605e-08,3.023809523809524e-08,3e-08,5e-08,7.419075614767654e-08,1724259146,86871474313761.95,5.607321335451541e+20,1e-05,0.05012226,118780320,5441,3993247,704643072,853
1724260986,857787,2911,20.865125,1.8018018018018017e-08,2.2181818181818183e-06,5.3449446726999565e-08,4.222222222222222e-08,3.4920634920634924e-08,6.717353799876138e-08,6.79235229463618e-08,1724260986,86871474313761.95,5.607321335451541e+20,1e-05,0.04908008,118775840,2911,3993548,837795840,1840
1724262007,857788,3448,20.864843,1.9926650366748165e-08,5.333333333333334e-06,8.585212276158901e-08,5e-08,4e-08,1.2438513896766877e-07,1.7359777627822155e-07,1724262007,86871474313761.95,5.607321335451541e+20,1e-05,0.0827995,118773568,3448,3993282,538091520,1021
1724262676,857789,4062,20.864124,2.0138888888888888e-08,7.092198581560284e-06,6.122909597177995e-08,4.043478260869565e-08,3.2e-08,7.957446808510639e-08,1.396762411034781e-07,1724262676,86871474313761.95,5.607321335451541e+20,1e-05,0.06184374,118770864,4062,3992820,854278144,669
1724263609,857792,3999,20.863165,2e-08,2.198198198198198e-06,4.967525719238689e-08,3.8430941916637886e-08,3e-08,5.184876124738077e-08,7.367153048782011e-08,1724263609,86871474313761.95,5.607321335451541e+20,1e-05,0.05408711,118764384,3999,3993004,790077440,933
