timestamp,block_height,tx_count,mempool_size_mb,min_fee_rate,max_fee_rate,avg_fee_rate,median_fee_rate,fee_rate_10th,fee_rate_90th,fee_rate_std,block_time,difficulty,hash_rate,mempool_min_fee,total_fee,mempool_usage,transaction_count,block_weight,block_version,block_interval,block_median_fee_rate
1725156923,803320,29627,6.213483,1E-8,0.00000200,2.563928783510857204599288266E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.825396825396825396825396825E-8,2.471304974073479703937863362E-8,1692118534,52391178981379.36,6.574572075966817E+20,0.00001000,0.15754266,46810400,3036,3993070,846528512,890,1.221818181818181818181818182E-7
1725156928,803321,29627,6.213483,1E-8,0.00000200,2.563928783510857204599288266E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.825396825396825396825396825E-8,2.471304974073479703937863362E-8,1692118556,52391178981379.36,6.574572075966817E+20,0.00001000,0.15754266,46810400,2921,3998021,805298176,22,8E-8
1725156933,803322,29646,6.223778,1E-8,0.00000200,2.565764921351581473303860236E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.825396825396825396825396825E-8,2.474475995096564833450122347E-8,1692118887,52391178981379.36,6.574572075966817E+20,0.00001000,0.15796271,46847664,1844,3993182,541065216,331,1.117460317460317460317460317E-7
1725156938,803323,29654,6.225349,1E-8,0.00000200,2.567456597649670414470942836E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.825396825396825396825396825E-8,2.483832693031205997273262380E-8,1692119017,52391178981379.36,6.574572075966817E+20,0.00001000,0.15808151,46859440,1271,3997784,536870912,130,7.92817537072856221792392005E-8
1725156942,803324,29660,6.226187,1E-8,0.00000200,2.567814081694399789750931722E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.825396825396825396825396825E-8,2.483735040147776907750963675E-8,1692119437,52391178981379.36,6.574572075966817E+20,0.00001000,0.15811728,46866576,2058,3993368,549453824,420,1.2E-7
1725156946,803325,29668,6.228048,1E-8,0.00000200,2.570736669808146912200464380E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.825396825396825396825396825E-8,2.500061136445579685715410567E-8,1692119467,52391178981379.36,6.574572075966817E+20,0.00001000,0.15830545,46877680,729,3993415,804888576,30,7.05347877440422427568957132E-8
1725156951,803326,29683,6.248204,1E-8,0.00000200,2.571440035389514983953758702E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.825396825396825396825396825E-8,2.499691385308717456426168510E-8,1692119881,52391178981379.36,6.574572075966817E+20,0.00001000,0.15884104,46928288,1637,3992800,717529088,414,1.2E-7
1725156955,803327,29699,6.250957,1E-8,0.00000200,2.574082843225423161237239006E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.933898305084745762711864407E-8,2.517942245764374158514438620E-8,1692120037,52391178981379.36,6.574572075966817E+20,0.00001000,0.15903162,46950240,699,3993437,538968064,156,1.2E-7
1725156959,803328,29705,6.25198,1E-8,0.00000200,2.574595810306351611279151998E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.945891783567134268537074148E-8,2.517888658146204555448248092E-8,1692120303,52391178981379.36,6.574572075966817E+20,0.00001000,0.15909555,46958128,1114,3993557,583393280,266,1.2E-7
1725156964,803329,29714,6.256619,1E-8,0.00000200,2.575210957028849314136304508E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.947674418604651162790697674E-8,2.518001693194677776250353898E-8,1692121498,52391178981379.36,6.574572075966817E+20,0.00001000,0.15932784,46986608,3432,3997690,830889984,1195,1.288888888888888888888888889E-7
1725156968,803330,29730,6.260727,1E-8,0.00000200,2.576864206181021384802635451E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.976744186046511627906976744E-8,2.518979328687321457188126349E-8,1692123345,52391178981379.36,6.574572075966817E+20,0.00001000,0.15956502,47015248,2848,3993473,816693248,1847,1.8E-7
1725156974,803331,29734,6.266866,1E-8,0.00000200,2.577883987334075314448509504E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.978723404255319148936170213E-8,2.523377616007435414452076396E-8,1692123367,52391178981379.36,6.574572075966817E+20,0.00001000,0.15985713,47051776,1968,3993441,579870720,22,1.2E-7
1725156978,803332,29747,6.288372,1E-8,0.00000200,2.579242907105204543656008114E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.979166666666666666666666667E-8,2.524564645966438838989307465E-8,1692124287,52391178981379.36,6.574572075966817E+20,0.00001000,0.16053839,47106064,2673,3993279,569810944,920,1.400983146067415730337078652E-7
1725156982,803333,29757,6.290643,1E-8,0.00000200,2.579761553449329664232377228E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.983425414364640883977900552E-8,2.524317815115249490858531629E-8,1692124386,52391178981379.36,6.574572075966817E+20,0.00001000,0.16063373,47122576,1913,3998050,545259520,99,1.026455026455026455026455026E-7
1725156987,803334,29770,6.293467,1E-8,0.000004069767441860465116279069767,2.595608934036800428398919710E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.985645933014354066985645933E-8,3.448006619928704036327311037E-8,1692124647,52391178981379.36,6.574572075966817E+20,0.00001000,0.16159291,47139280,2503,3993044,571056128,261,9E-8
1725156992,803335,29776,6.294632,1E-8,0.000004069767441860465116279069767,2.599211435959071050348827295E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.985714285714285714285714286E-8,3.494602544722404050356782672E-8,1692124884,52391178981379.36,6.574572075966817E+20,0.00001000,0.16186098,47147056,1861,3993465,628662272,237,8.92116989895186091759241825E-8
1725156996,803336,29781,6.295987,1E-8,0.000004069767441860465116279069767,2.599263210064669103078441213E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.985815602836879432624113475E-8,3.494314696987707962478293646E-8,1692124947,52391178981379.36,6.574572075966817E+20,0.00001000,0.16190117,47153600,324,3993236,536985600,63,1.103216374269005847953216374E-7
1725157000,803337,29785,6.296671,1E-8,0.000004069767441860465116279069767,2.599515125024877168964739978E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.985849056603773584905660377E-8,3.494151808399204468616447676E-8,1692125313,52391178981379.36,6.574572075966817E+20,0.00001000,0.16193123,47159056,1560,3992832,729628672,366,1.2E-7
1725157005,803338,29789,6.298079,1E-8,0.000004069767441860465116279069767,2.599955796093924413479001461E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.985849056603773584905660377E-8,3.494377235541498923025540087E-8,1692126287,52391178981379.36,6.574572075966817E+20,0.00001000,0.16200526,47168064,2256,3993636,687898624,974,1.397156398104265402843601896E-7
1725157009,803339,29802,6.300701,1E-8,0.000004069767441860465116279069767,2.600665131736240879323706871E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.985849056603773584905660377E-8,3.493873952787692787256372712E-8,1692126368,52391178981379.36,6.574572075966817E+20,0.00001000,0.16211848,47186192,215,3993517,550617088,81,1.395112781954887218045112782E-7
1725157013,803340,29805,6.302415,1E-8,0.000004069767441860465116279069767,2.600860296388117190596191833E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.985849056603773584905660377E-8,3.493509749409790636082111916E-8,1692126709,52391178981379.36,6.574572075966817E+20,0.00001000,0.16220183,47192480,888,3993600,1073676288,341,1.5E-7
1725157018,803341,29813,6.304041,1E-8,0.000004069767441860465116279069767,2.601222096437551960930616289E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.986111111111111111111111111E-8,3.493571389020066087637081395E-8,1692127205,52391178981379.36,6.574572075966817E+20,0.00001000,0.16223487,47203504,1479,3993338,538968064,496,1.359027777777777777777777778E-7
1725157022,803342,29820,6.30544,1E-8,0.000004069767441860465116279069767,2.601575491372139094907570337E-8,2.317460317460317460317460317E-8,2.206349206349206349206349206E-8,2.987854251012145748987854251E-8,3.493314326590816167073134313E-8,1692127696,52391178981379.36,6.574572075966817E+20,0.00001000,0.16230581,47213680,1334,3993008,697884672,491,1.4E-7
