timestamp,block_height,tx_count,mempool_size_mb,min_fee_rate,max_fee_rate,avg_fee_rate,median_fee_rate,fee_rate_10th,fee_rate_90th,fee_rate_std,block_time,difficulty,hash_rate,mempool_min_fee,total_fee,mempool_usage,transaction_count,block_weight,block_version,block_interval,bitcoin_price_usd
1724828242,697522,0,0.0,0,0,0,0,0,0,0,1629891950,15556093717702.55,1.210433888778485E+20,0.00001000,0,0,2428,3993387,536895492,263406,59189
1724828847,698144,0,0.0,0,0,0,0,0,0,0,1630254038,17615033039278.88,1.401620624165551E+20,0.00001000,0,0,2638,3993285,805298180,362088,59179
1724829449,698734,0,0.0,0,0,0,0,0,0,0,1630611529,17615033039278.88,1.332735009390496E+20,0.00001000,0,0,2577,3993513,536870916,357491,59168
1724830053,699230,0,0.0,0,0,0,0,0,0,0,1630890981,17615033039278.88,1.381928768584553E+20,0.00001000,0,0,2298,3964855,755097604,279452,58921
1724830657,699541,0,0.0,0,0,0,0,0,0,0,1631055368,17615033039278.88,1.351523249865268E+20,0.00001000,0,0,2595,3993529,545259520,164387,59026
1724831258,700050,0,0.0,0,0,0,0,0,0,0,1631370098,18415156832118.24,1.234392559013537E+20,0.00001000,0,0,950,3993156,541065216,314730,58803
1724831860,700641,0,0.0,0,0,0,0,0,0,0,1631703318,18415156832118.24,1.275019396326584E+20,0.00001000,0,0,2806,3993350,536870916,333220,58707
1724832463,701146,0,0.0,0,0,0,0,0,0,0,1632000383,18415156832118.24,1.390638142482174E+20,0.00001000,0,0,1221,3509110,725901316,297065,58623
1724833067,701682,0,0.0,0,0,0,0,0,0,0,1632313017,18997641161758.95,1.174852907863607E+20,0.00001000,0,0,1304,3999378,1073733636,312634,58740
1724833670,702263,0,0.0,0,0,0,0,0,0,0,1632652257,18997641161758.95,1.264148099505115E+20,0.00001000,0,0,795,3993494,536887300,339240,59022
1724834272,702853,0,0.0,0,0,0,0,0,0,0,1632997096,18997641161758.95,1.400580618612054E+20,0.00001000,0,0,2390,3999589,1073733636,344839,59148
1724834877,703474,0,0.0,0,0,0,0,0,0,0,1633333017,18997641161758.95,1.343338378180092E+20,0.00001000,0,0,1607,3940891,536870916,335921,59162
1724835481,704068,0,0.0,0,0,0,0,0,0,0,1633682500,19893045048575.13,1.378085187612557E+20,0.00001000,0,0,2098,3993535,805298180,349483,59186
1724836082,704367,0,0.0,0,0,0,0,0,0,0,1633864857,19893045048575.13,1.575123868286517E+20,0.00001000,0,0,2906,3993075,798031876,182357,59271
1724836684,704741,0,0.0,0,0,0,0,0,0,0,1634085978,19893045048575.13,1.397240909762528E+20,0.00001000,0,0,729,3993544,671080452,221121,59410
1724837286,705234,0,0.0,0,0,0,0,0,0,0,1634376664,19893045048575.13,1.34592058019867E+20,0.00001000,0,0,1440,2136719,543162372,290686,59242
1724837889,705857,0,0.0,0,0,0,0,0,0,0,1634734817,20082460130830.84,1.588096703620945E+20,0.00001000,0,0,2300,3999448,543162372,358153,59519
1724838492,706475,0,0.0,0,0,0,0,0,0,0,1635091137,20082460130830.84,1.421900029606818E+20,0.00001000,0,0,2318,3998304,536870916,356320,59513
1724839096,706902,0,0.0,0,0,0,0,0,0,0,1635321694,20082460130830.84,1.39823563011913E+20,0.00001000,0,0,2355,3668809,547356676,230557,59670
1724839699,707521,0,0.0,0,0,0,0,0,0,0,1635654545,20082460130830.84,1.49724133536617E+20,0.00001000,0,0,1671,3992957,536870916,332851,59955
1724840301,708090,0,0.0,0,0,0,0,0,0,0,1635977267,21659344833264.85,1.718887006546618E+20,0.00001000,0,0,2034,3993160,536928260,322722,59964
1724840902,708828,0,0.0,0,0,0,0,0,0,0,1636405180,21659344833264.85,1.488779011778271E+20,0.00001000,0,0,3049,3999788,551550980,427913,59977
1724841506,709063,0,0.0,0,0,0,0,0,0,0,1636544522,21659344833264.85,1.554627217961621E+20,0.00001000,0,0,2988,3993572,671080452,139342,59889
1724842110,709497,0,0.0,0,0,0,0,0,0,0,1636797666,21659344833264.85,1.521260208772861E+20,0.00001000,0,0,1276,2063311,543162372,253144,59786
1724842712,710098,0,0.0,0,0,0,0,0,0,0,1637136528,22674148233453.11,1.676423086323174E+20,0.00001000,0,0,3030,3999528,536928260,338862,59776
1724843312,710781,0,0.0,0,0,0,0,0,0,0,1637551778,22674148233453.11,1.562345632989151E+20,0.00001000,0,0,2596,3992828,536870916,415250,59736
1724843915,711211,0,0.0,0,0,0,0,0,0,0,1637811237,22674148233453.11,1.632855293385336E+20,0.00001000,0,0,2363,3993587,549453828,259459,59987
1724844515,711505,0,0.0,0,0,0,0,0,0,0,1638002884,22674148233453.11,1.63447675278799E+20,0.00001000,0,0,763,819377,805298180,191647,60047
1724845118,712021,0,0.0,0,0,0,0,0,0,0,1638325242,22335659268936.39,1.339292279543243E+20,0.00001000,0,0,2686,3998481,545259524,322358,60068
1724845722,712557,0,0.0,0,0,0,0,0,0,0,1638618099,22335659268936.39,1.839606057850035E+20,0.00001000,0,0,347,531609,536870912,292857,59934
1724846324,712934,0,0.0,0,0,0,0,0,0,0,1638821528,22335659268936.39,2.113863050884877E+20,0.00001000,0,0,1661,3846656,536928260,203429,60055
1724846929,713407,0,0.0,0,0,0,0,0,0,0,1639073111,22335659268936.39,1.856127245419124E+20,0.00001000,0,0,2561,3992847,551550976,251583,59898
1724847531,713943,0,0.0,0,0,0,0,0,0,0,1639379884,24195286980613.62,1.801110134504845E+20,0.00001000,0,0,830,3999733,545259524,306773,60057
1724848131,714450,0,0.0,0,0,0,0,0,0,0,1639704041,24195286980613.62,1.44669268068901E+20,0.00001000,0,0,2706,3999501,536870916,324157,60011
1724848732,715255,0,0.0,0,0,0,0,0,0,0,1640184190,24195286980613.62,1.747844511790432E+20,0.00001000,0,0,1379,3993373,536870916,480149,60104
1724849335,715648,0,0.0,0,0,0,0,0,0,0,1640406266,24195286980613.62,1.896313352636242E+20,0.00001000,0,0,2148,3993367,536879108,222076,60126
1724849938,715996,0,0.0,0,0,0,0,0,0,0,1640616643,24272331996979.97,1.735145987858289E+20,0.00001000,0,0,2650,3993467,536887300,210377,59947
1724850541,716320,0,0.0,0,0,0,0,0,0,0,1640814609,24272331996979.97,1.645605233193551E+20,0.00001000,0,0,1732,3992973,541065216,197966,59952
1724851144,717072,0,0.0,0,0,0,0,0,0,0,1641255420,24272331996979.97,1.592400242265335E+20,0.00001000,0,0,1688,3993040,536870916,440811,59827
1724851749,717596,0,0.0,0,0,0,0,0,0,0,1641567519,24272331996979.97,1.766657564150242E+20,0.00001000,0,0,1249,3992977,1071013892,312099,60020
1724852352,718142,0,0.0,0,0,0,0,0,0,0,1641899053,24371874614345.62,1.734419557114338E+20,0.00001000,0,0,1258,3993330,536870916,331534,59847
1724852956,718973,0,0.0,0,0,0,0,0,0,0,1642337794,24371874614345.62,2.140472045743356E+20,0.00001000,0,0,1559,2215535,545259520,438741,59859
1724853560,719851,0,0.0,0,0,0,0,0,0,0,1642830281,26643185256535.46,1.726123470133822E+20,0.00001000,0,0,2022,3998190,1073676292,492487,59699
1724854164,720332,0,0.0,0,0,0,0,0,0,0,1643117112,26643185256535.46,1.969084667513065E+20,0.00001000,0,0,2740,3993588,771530752,286831,59505
1724854765,720777,0,0.0,0,0,0,0,0,0,0,1643389099,26643185256535.46,2.104327978163327E+20,0.00001000,0,0,3185,3999749,805298180,271987,59986
1724855366,721169,0,0.0,0,0,0,0,0,0,0,1643621711,26643185256535.46,1.844856202045115E+20,0.00001000,0,0,935,3993068,620134400,232612,59589
1724855969,721639,0,0.0,0,0,0,0,0,0,0,1643893752,26643185256535.46,2.000116909564002E+20,0.00001000,0,0,1347,2156358,536870916,272041,59639
1724856569,722211,0,0.0,0,0,0,0,0,0,0,1644254960,26690525287405.5,1.700252372167259E+20,0.00001000,0,0,3098,3992969,536895488,361208,59302
1724857174,722502,0,0.0,0,0,0,0,0,0,0,1644428635,26690525287405.5,1.666170305431108E+20,0.00001000,0,0,405,3992909,536895492,173675,59022
1724859143,723727,0,0,0,0,0,0,0,0,0,,26690525287405.5,,0,0,0,,,,,
1724860385,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,
1724860988,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,58930
1724861592,,0,0,0,0,0,0,0,0,0,,,,0,0,0,,,,,58713
