sequence,actual_fee_rate,predicted_fee_rate,absolute_error,percentage_error
49,4.9841,0.6214441085595841,4.362655891440416,87.53146789671989
50,4.9685,0.7214906867887801,4.24700931321122,85.47870208737487
51,3.2016,0.7210213996405986,2.4805786003594013,77.47934159043606
52,5.0,0.7205916841281489,4.279408315871851,85.58816631743703
53,3.5,0.7201982050321524,2.7798017949678475,79.42290842765279
54,4.5132,0.7198379055267957,3.7933620944732045,84.05038762902606
55,5.4982,0.7195079886059642,4.778692011394035,86.91375379931678
56,7.0973,0.8133084604932627,6.283991539506737,88.54059345817053
57,5.0,0.813031838015649,4.186968161984351,83.73936323968701
58,6.0,0.8127785415694356,5.187221458430565,86.45369097384274
59,4.2192,0.8125466044211301,3.4066533955788696,80.74169026305627
60,5.0,0.8123342252825393,4.187665774717461,83.75331549434921
61,6.0645,0.8121397550467563,5.252360244953244,86.60829821012852
62,5.9362,0.9192442793465394,5.016955720653461,84.51460059724167
63,4.0,0.9190812236572226,3.080918776342777,77.02296940856942
64,4.0,0.9189319176057602,3.08106808239424,77.026702059856
65,5.3077,0.9187952017876736,4.388904798212326,82.68939085125999
66,6.1232,0.9186700145091856,5.204529985490814,84.99689681034124
67,11.0,0.9185553836441008,10.081444616355899,91.64949651232635
68,15.0,1.139935965484625,13.860064034515375,92.40042689676916
69,18.0,1.1398398519892703,16.86016014801073,93.66755637783739
70,19.0,1.1397518432533666,17.860248156746632,94.00130608814017
71,16.0,1.1396712558483415,14.860328744151658,92.87705465094787
72,13.0,1.1395974639678306,11.860402536032169,91.23386566178591
73,9.305,1.1395298945821908,8.165470105417809,87.75357448057828
74,6.971,2.152276644532913,4.818723355467087,69.12528124325186
75,5.1,2.1522199902472035,2.947780009752796,57.79960803436855
76,4.4031,2.1521681133288175,2.2509318866711827,51.121525440511974
77,9.2342,2.152120610927311,7.082079389072689,76.6940221034057
78,5.9767,2.15207711416147,3.8246228858385303,63.99221787673014
79,5.0538,2.152037285256748,2.901762714743252,57.41744261235608
80,6.0243,2.383104372172514,3.641195627827486,60.44180448894454
81,4.3,2.383070977194567,1.9169290228054328,44.579744716405415
82,4.2016,2.3830403982451664,1.8185596017548336,43.28254954671634
83,4.0,2.383012397863041,1.616987602136959,40.42469005342397
84,4.1,2.3829867586106657,1.717013241389334,41.878371741203274
85,10.2,2.382963281386027,7.817036718613972,76.63761488837227
86,11.0,2.597075577137218,8.402924422862782,76.39022202602528
87,11.0,2.597055892403123,8.402944107596877,76.39040097815342
88,9.0367,2.5970378675825048,6.439662132417495,71.2612140761284
89,8.0,2.597021362703316,5.402978637296684,67.53723296620855
90,8.0,2.5970062495966193,5.402993750403381,67.53742188004226
91,20.1188,2.596992410901328,17.52180758909867,87.0917131692679
92,14.6939,2.5636594362423057,12.130240563757694,82.55289993642052
93,12.0,2.563647833037873,9.436352166962127,78.63626805801772
94,10.0,2.563637208272639,7.436362791727361,74.36362791727362
95,13.6852,2.563627479439807,11.121572520560193,81.26715371759413
96,9.4,2.5636185709899526,6.836381429010048,72.72746201074519
97,12.539,2.563610413744355,9.975389586255645,79.5549053852432
98,9.0,2.74453104329057,6.25546895670943,69.50521063010478
99,8.0769,2.7445242037593656,5.332375796240635,66.02007943939674
